"Line","Qty","References","Category","Value / Function","Manufacturer","Manufacturer Part Number","Package / Source Footprint","Electrical Rating","Tolerance","Source Supplier","Populate","Production Status / Gate","Approved Compatible Alternate Policy","Source File","Mating / Accessory Notes","Datasheet / Source"
"BOM-061","1","U201","USB ESD protector","2-channel low-capacitance ESD","Texas Instruments","TPD2EUSB30DRTR","Source-defined exact JLC C97502 / TI DRT 3-pin land pattern","Per exact manufacturer datasheet","Per exact MPN","JLCPCB C97502","FIT","G-USB-ESD-FOOTPRINT: source requires generated copper/paste/mask comparison with TI DRT and assembler C97502 library before fabrication release.","None approved; substitute requires identical DRT land/pinout and equal-or-better USB signal-integrity and ESD ratings.","src/usb.tsx","","https://www.ti.com/lit/ds/symlink/tpd2eusb30.pdf"
"BOM-062","2","U301 U602","Adjustable current-limited power switch","FTDI active limiter; expansion ≈200 mA limiter","Texas Instruments","TPS2553DBVR","SOT-23-6","Per exact manufacturer datasheet; two different ILIM settings","Per exact MPN","","FIT; CURRENT-LIMIT REVIEW REQUIRED","U301's broad active-limit tolerance is backed by R300, whose exact 82 Ω/2512/1% selection is intended to impose an unconditional less-than-68 mA cable-current ceiling. Independently validate that ceiling, U301 fault behavior and the raw-side load budget. Validate U602's 173.7–233.9 mA programmed range, reverse behavior, cable fault energy and thermal trip.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish; no alternate silicon approved.","src/mode-service.tsx; src/expansion.tsx","","https://www.ti.com/lit/ds/symlink/tps2553.pdf"
"BOM-063","1","U302","3.3 V LDO","Service-domain regulator","Texas Instruments","TLV75533PDBVR","SOT-23-5","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify stability with frozen capacitors and SOT-23-5 pin map.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/mode-service.tsx","","https://www.ti.com/lit/ds/symlink/tlv755p.pdf"
"BOM-064","1","U609","2.9 V supervisor","Expansion-rail qualification and delayed signal-connect enable","Texas Instruments","TLV809EA29DBZR","SOT-23-3","Per exact manufacturer datasheet","Per exact MPN","","FIT","U303 has been removed; this A29 supervisor is now used only on EXP_3V3. Verify DBZ pin map, reset polarity, threshold/tolerance, 200 ms release delay and coordinated OE_N behavior under startup, shutdown and current-limit faults.","No alternate approved; threshold, delay, polarity and package are part of the expansion power-off-isolation design.","src/expansion.tsx","","https://www.ti.com/lit/ds/symlink/tlv803e.pdf"
"BOM-065","2","U304 U308","Dual 2-input AND gate","Mode qualification/interlock","Texas Instruments","SN74LVC2G08DCUR","Source-defined exact TI DCU0008A VSSOP-8 footprint","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify DCU/VSSOP crossed-Y pin numbering and generated copper/mask/paste against the TI package drawing before release.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/mode-service.tsx","","https://www.ti.com/lit/ds/symlink/sn74lvc2g08.pdf"
"BOM-066","1","U307","Dual inverter","Mode cross-inhibit","Texas Instruments","SN74LVC2G04DBVR","SOT-23-6","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify pin map and unpowered-input behavior in service/offline states.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/mode-service.tsx","","https://www.ti.com/lit/ds/symlink/sn74lvc2g04.pdf"
"BOM-067","3","U305 U306 U405","Dual tri-state buffer","Service UART ownership and target-side J3 line enable","Texas Instruments","SN74LVC2G126DCUR","Source-defined exact TI DCU0008A VSSOP-8 footprint","Per exact manufacturer datasheet","Per exact MPN","","FIT","All three references now use the same source-defined DCU0008A footprint. Verify pin map, powered-off behavior and generated copper/mask/paste against the TI package drawing.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/mode-service.tsx; src/target-service.tsx","","https://www.ti.com/lit/ds/symlink/sn74lvc2g126.pdf"
"BOM-069","9","Q201 Q301 Q302 Q401 Q501 Q502 Q601 Q602 Q603","N-channel MOSFET","USB VBUS presence; mode sensing; MCLR pull-down; dual relay-coil chain; three-stage expansion OE interlock","Nexperia","BSS138BK,215","SOT-23","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify G-S-D pin map, threshold/leakage, low-voltage RDS(on), relay-coil current margin and footprint orientation in every use. Q601–Q603 form the series rail-good/fault/firmware expansion-enable chain.","None approved; alternate requires identical SOT-23 pinout and equal-or-better VGS(th), RDS(on), voltage/current and leakage ratings.","src/usb.tsx; src/mode-service.tsx; src/target-service.tsx; src/safety.tsx; src/expansion.tsx","","https://assets.nexperia.com/documents/data-sheet/BSS138BK.pdf"
"BOM-070","2","SW101 SW102","Momentary pushbutton","Reset and boot","Omron","B3U-1000P","kicad:Button_Switch_SMD/SW_SPST_B3U-1000P","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN and land pattern fixed; verify enclosure access, height, force, life, pin topology and assembly orientation.","None approved; alternate requires identical footprint/height/pin topology and equal-or-better force, life and contact ratings.","src/processor.tsx","","https://components.omron.com/sites/default/files/datasheet_pdf/A205-E1.pdf"
"BOM-071","1","SW301","4-pole 3-position slide switch","NORMAL / FTDI SERVICE / OFFLINE hardware selector","Littelfuse / C&K","SS-43D28-G 6 NS","Source-defined THT: 20 x 0.8 mm terminal holes plus 2 x 1.55 mm mechanical holes","Per exact manufacturer datasheet","Per exact MPN","","FIT","G-MODE-SWITCH: source requires received-part continuity, pin numbering, bottom/top view, land pattern and break-before-make behavior verification before assembly release.","None approved; this switch topology and mechanical footprint are architecture-critical.","src/mode-service.tsx","","https://www.littelfuse.com/assetdocs/littelfuse-ck-slide-ss-series-datasheet?assetguid=1964a539-29dd-40e2-bbda-ce2cdfa9dede"
"BOM-072","3","U401 U406 U407","Reinforced optocoupler","Target-domain enable and MCLR control","Vishay","VOL618A-3X001T","kicad:Package_SO/SOP-4_7.5x4.1mm_P2.54mm","Per exact manufacturer datasheet","Per exact MPN","","FIT","G-ISOLATION: verify CTR bin over current/temperature/life, package orientation and certified creepage. These parts bridge the board isolation keepout.","None approved; alternate requires same reinforced package/certification, pinout, CTR behavior and footprint.","src/target-service.tsx","","https://www.vishay.com/docs/82405/vol618a.pdf"
"BOM-073","1","U402","Load switch","Target-derived interface supply","Texas Instruments","TPS22948DCKR","kicad:Package_TO_SOT_SMD/SOT-363_SC-70-6","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify DCK/SC70-6 pin map, reverse-current behavior and capacitor/load transient performance.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/target-service.tsx","","https://www.ti.com/lit/ds/symlink/tps22948.pdf"
"BOM-074","1","U403","4.2 V supervisor","Target-voltage qualification","Texas Instruments","TLV803EA42RDBZR","SOT-23-3","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify threshold, output polarity and SOT-23 pin map.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/target-service.tsx","","https://www.ti.com/lit/ds/symlink/tlv803e.pdf"
"BOM-075","1","U404","Reinforced dual digital isolator","J3 bidirectional UART isolation","Texas Instruments","ISO7721DWVR","kicad:Package_SO/SOIC-8_7.5x5.85mm_P1.27mm","Per exact manufacturer datasheet","Per exact MPN","","FIT","G-ISOLATOR-FOOTPRINT: source requires KiCad wide-body land validation against TI DWV0008A and preservation of reinforced creepage geometry/no-copper keepout.","None approved; alternate requires same default output states, channel directions, reinforced rating, package/pinout and footprint.","src/target-service.tsx","","https://www.ti.com/lit/ds/symlink/iso7721.pdf"
"BOM-076","1","U501","Window watchdog and supervisor","Hardware heartbeat dead-man","Texas Instruments","TPS3851H33EDRBR","Source-defined TI DRB0008A VSON-8 exposed-pad footprint","Per exact manufacturer datasheet","Per exact MPN","","FIT","G-WATCHDOG-FOOTPRINT: source requires pin numbering, package orientation, copper/paste/mask and exposed-pad validation against TI DRB0008A; watchdog timing must be signed off with C501.","None approved; threshold/watchdog/reset behavior and package are safety-relevant.","src/safety.tsx","","https://www.ti.com/lit/ds/symlink/tps3851.pdf"
"BOM-077","1","U502","Single 2-input AND gate","Watchdog fault combine","Texas Instruments","SN74LVC1G08DBVR","SOT-23-5","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify pin map, powered-off behavior and logic thresholds.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/safety.tsx","","https://www.ti.com/lit/ds/symlink/sn74lvc1g08.pdf"
"BOM-078","1","U503","Single D flip-flop with clear","Heartbeat-fault latch","Texas Instruments","SN74LVC1G74DCUR","Source-defined exact TI DCU0008A VSSOP-8 footprint","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify DCU pin map, async clear behavior, generated copper/mask/paste and power-up state.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/safety.tsx","","https://www.ti.com/lit/ds/symlink/sn74lvc1g74.pdf"
"BOM-079","1","K501","Relay; non-latching DPDT","Fail-back thermostat transfer; 5 V coil","Panasonic Industry","TQ2-5V","Source-defined THT TQ2 bottom-view footprint; 1.0 mm drills / 1.8 mm lands","Coil/contact ratings per exact manufacturer datasheet and final thermostat load analysis","Per exact MPN","","FIT; RECEIVED-PART REVIEW REQUIRED","The former 0.8 mm drill mismatch is corrected to 1.0 mm. Verify bottom-view pin transformation, pin 1, body courtyard, received-part fit, contact/coil ratings, TQ2-5V versus legacy ATQ209 ordering and de-energized NC fail-back continuity before release.","None approved; relay contact form, NC fail-back behavior, coil voltage, pinout and body footprint are safety-relevant.","src/safety.tsx","","https://industry.panasonic.com/global/en/products/control/relay/signal/tq"
"BOM-080","1","U601","16-bit I2C GPIO expander","Future I/O and expansion-rail enable","Texas Instruments","TCA9535PWR","tssop24_p0.65mm_w4.4mm","Per exact manufacturer datasheet","Per exact MPN","","FIT","G-IOX-FOOTPRINT: verify the generated 24-pin, 0.65 mm-pitch, 4.4 mm-body TSSOP land against TI PW. Address is strapped 0x20; external ports default input/benign.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/expansion.tsx","","https://www.ti.com/lit/ds/symlink/tca9535.pdf"
"BOM-081","4","U603 U604 U605 U606","Four-line ESD protector","Ground-referenced expansion GPIO/sensor cable protection","Texas Instruments","ESDS304DBVR","SOT-23-5","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify DBV pin map, ground-only snapback behavior, working voltage, clamp voltage, capacitance, connector placement and repetitive field-transient suitability. Do not replace with a rail-clamp array that can back-power V3V3_MAIN.","None approved; alternate requires identical SOT-23-5 pinout, ground-only topology and equal-or-better ESD/clamp/capacitance/working-voltage ratings.","src/expansion.tsx","","https://www.ti.com/lit/ds/symlink/esds304.pdf"
"BOM-082","1","C8","Capacitor; 3.3 V buck input","10 uF","Murata Manufacturing","GRM21BR61A106KE19L","0805","10 V; per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify effective capacitance under 5 V bias, ESR, ripple and TPS62162 stability across temperature/tolerance.","None approved; alternate requires the same 0805 land pattern and equal-or-better effective capacitance, voltage, ESR, ripple and temperature ratings.","src/power.tsx","",""
"BOM-083","1","C10","Capacitor; local eFuse bypass","1 uF","TDK","CGA3E1X7R1V105K080AC","0603","35 V; per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify effective capacitance on the protected 12 V rail, surge margin, temperature grade and local eFuse bypass performance.","None approved; alternate requires the same 0603 land pattern and equal-or-better effective capacitance, voltage, dielectric and temperature ratings.","src/power.tsx","","https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=CGA3E1X7R1V105K080AC"
"BOM-084","1","R300","Resistor; unconditional FTDI cable-current ceiling","82 Ω","YAGEO","RC2512FK-0782RL","2512","Per exact manufacturer datasheet and FTDI current/thermal analysis","1%","","FIT","Source MPN fixed. Validate the stated less-than-68 mA unconditional cable-current ceiling, worst-case dissipation/pulse energy, board heating and fault behavior independently of U301 tolerance.","None approved; alternate requires the same 2512 land pattern, 82 Ω value, 1% or better tolerance and equal-or-better power, pulse, voltage and temperature ratings.","src/mode-service.tsx","","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_16.pdf"
"BOM-085","1","R653","Resistor; auxiliary ADC series/divider upper leg","20 kΩ","TBD — production gate","TBD — production gate","0603","Power, leakage and tempco TBD","1%","","FIT","G-AUX-ADC: exact MPN, power rating and tempco unresolved; validate the 5:6 divider ratio, source impedance, ADC acquisition error, clamp current and C606 time constant across tolerance/leakage.","Second source only after the ADC error budget is frozen; same package/value/1% or better and frozen power/tempco/leakage.","src/expansion.tsx","",""
"BOM-086","1","R654","Resistor; auxiliary ADC divider lower leg","100 kΩ","TBD — production gate","TBD — production gate","0603","Power, leakage and tempco TBD","1%","","FIT","G-AUX-ADC: exact MPN, power rating and tempco unresolved; validate the 5:6 divider ratio, ADC error and C606 time constant across tolerance/leakage.","Second source only after the ADC error budget is frozen; same package/value/1% or better and frozen power/tempco/leakage.","src/expansion.tsx","",""
"BOM-087","1","U504","Single Schmitt-trigger inverter","Heartbeat edge qualification","Texas Instruments","SN74LVC1G14DBVR","SOT-23-5","Per exact manufacturer datasheet","Per exact MPN","","FIT","Source MPN fixed; verify DBV pin map, Schmitt thresholds, edge polarity, no-connect pin and timing interaction with U501/U503 across startup and stale-heartbeat cases.","Packaging-only order suffix may be accepted only with a TI cross-reference proving identical device/package/finish.","src/safety.tsx","","https://www.ti.com/lit/ds/symlink/sn74lvc1g14.pdf"
"BOM-088","2","U607 U608","8-bit bidirectional bus switch with powered-off isolation","Disconnect all external expansion signals whenever EXP_3V3 is not qualified","Texas Instruments","SN74CBTLV3245APWR","tssop20_p0.65mm_w4.4mm","Per exact manufacturer datasheet","Per exact MPN","","FIT; FUNCTIONAL REVIEW REQUIRED","Source MPN fixed; verify PW pin map/land pattern, Ioff behavior, OE_N thresholds, analog pass range, off leakage, channel assignment and startup/shutdown isolation. U607 carries eight J601 GPIOs; U608 carries four J601 GPIOs plus J602/J603 signals.","No alternate approved; powered-off isolation, bidirectional behavior, channel count, pinout and package are required.","src/expansion.tsx","","https://www.ti.com/lit/ds/symlink/sn74cbtlv3245a.pdf"
